epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
1649,2025-09-30T01:30:09.018696,18.52435064315796,1.313202392339008e-05,0.0,1.313202392339008e-05,0.0,0.0,0.0,0.0,0.0,0.02295074382111969,0.0,0.0,0.0,0.0,0.02295074382111969,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.011037349700927734
1699,2025-09-30T01:30:09.569431,19.07508635520935,0.0001911238650791347,0.0,0.0001911238650791347,0.0,0.0,0.0,0.0,0.0,0.09030575579386689,0.0,0.0,0.0,0.0,0.09030575579386689,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.011129140853881836
1749,2025-09-30T01:30:10.117113,19.62276840209961,1.3529023817682173e-05,0.0,1.3529023817682173e-05,0.0,0.0,0.0,0.0,0.0,0.019399396036346783,0.0,0.0,0.0,0.0,0.019399396036346783,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.012117862701416016
1799,2025-09-30T01:30:10.658154,20.163809299468994,0.0012414727825671434,0.0,0.0012414727825671434,0.0,0.0,0.0,0.0,0.0,0.11792008738286937,0.0,0.0,0.0,0.0,0.11792008738286937,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.013194084167480469
1849,2025-09-30T01:30:11.183980,20.689634561538696,0.0005369375576265156,0.0,0.0005369375576265156,0.0,0.0,0.0,0.0,0.0,0.10203785271780592,0.0,0.0,0.0,0.0,0.10203785271780592,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.010085105895996094
1899,2025-09-30T01:30:11.714175,21.21983003616333,1.1636115232249722e-05,0.0,1.1636115232249722e-05,0.0,0.0,0.0,0.0,0.0,0.00714838729681949,0.0,0.0,0.0,0.0,0.00714838729681949,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.011408805847167969
1949,2025-09-30T01:30:12.284007,21.78966188430786,0.00013506128743756562,0.0,0.00013506128743756562,0.0,0.0,0.0,0.0,0.0,0.054821158995503244,0.0,0.0,0.0,0.0,0.054821158995503244,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.010117053985595703
1999,2025-09-30T01:30:12.824943,22.330597639083862,4.360129423730541e-06,0.0,4.360129423730541e-06,0.0,0.0,0.0,0.0,0.0,0.010581346764802057,0.0,0.0,0.0,0.0,0.010581346764802057,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.3119292816554662e-06,1.955714424184407e-06,4.859668365497782e-07,0.0001,0.010002374649047852
2049,2025-09-30T01:30:13.344638,22.850292921066284,0.00035914406180381775,0.0,0.00035914406180381775,0.0,0.0,0.0,0.0,0.0,0.1193418450253041,0.0,0.0,0.0,0.0,0.1193418450253041,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.009489297866821289
2099,2025-09-30T01:30:13.877554,23.383208990097046,0.00040648531285114586,0.0,0.00040648531285114586,0.0,0.0,0.0,0.0,0.0,0.11147248247301365,0.0,0.0,0.0,0.0,0.11147248247301365,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.011124610900878906
2149,2025-09-30T01:30:14.415328,23.920982837677002,2.660849986568792e-06,0.0,2.660849986568792e-06,0.0,0.0,0.0,0.0,0.0,0.008354831041813615,0.0,0.0,0.0,0.0,0.008354831041813615,100000000.0,10000000000.0,1.0,1.0,1.0,1.0,1.2769277191182482e-06,1.9008225535799284e-06,4.810244149666687e-07,0.0001,0.011152029037475586
