 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  30.10.2025    Time:  11:34: 7
 Units: L = m    , T = hours, M = mmol 



                               Node( 14)                      Node( 30)                      Node( 50)

         time            h        theta    Flux           h        theta    Flux           h        theta    Flux  
          0.0740      -18.78  0.1043  0.124E-03         -9.15  0.1614  0.121E-02         -5.07  0.2239  0.209E-02
          0.1000      -18.77  0.1043  0.123E-03         -9.13  0.1617  0.118E-02         -5.06  0.2241  0.213E-02
          0.1312      -18.76  0.1043  0.123E-03         -9.11  0.1619  0.115E-02         -5.04  0.2244  0.218E-02
          0.1722      -18.76  0.1044  0.122E-03         -9.09  0.1621  0.110E-02         -5.02  0.2249  0.224E-02
          0.2268      -18.75  0.1044  0.121E-03         -9.08  0.1622  0.105E-02         -4.99  0.2255  0.232E-02
          0.2951      -18.73  0.1045  0.120E-03         -9.07  0.1623  0.101E-02         -4.95  0.2264  0.244E-02
          0.3976      -18.72  0.1045  0.119E-03         -9.06  0.1624  0.954E-03         -4.88  0.2278  0.261E-02
          0.5000      -18.70  0.1046  0.119E-03         -9.06  0.1625  0.915E-03         -4.82  0.2294  0.276E-02
          0.6250      -18.69  0.1046  0.118E-03         -9.05  0.1626  0.882E-03         -4.74  0.2315  0.290E-02
          0.8125      -18.66  0.1047  0.118E-03         -9.03  0.1628  0.851E-03         -4.64  0.2341  0.302E-02
          1.0000      -18.63  0.1049  0.119E-03         -9.01  0.1630  0.831E-03         -4.56  0.2363  0.308E-02
          1.1667      -18.60  0.1050  0.119E-03         -8.99  0.1632  0.819E-03         -4.50  0.2379  0.309E-02
          1.5000      -18.55  0.1052  0.121E-03         -8.93  0.1638  0.816E-03         -4.41  0.2404  0.304E-02
          1.7500      -18.50  0.1053  0.123E-03         -8.89  0.1643  0.824E-03         -4.35  0.2418  0.297E-02
          2.0000      -18.45  0.1055  0.125E-03         -8.83  0.1649  0.837E-03         -4.31  0.2430  0.290E-02
          2.5000      -18.34  0.1060  0.130E-03         -8.71  0.1663  0.878E-03         -4.25  0.2447  0.276E-02
          3.0000      -18.21  0.1064  0.136E-03         -8.56  0.1680  0.925E-03         -4.20  0.2458  0.262E-02
          3.5000      -18.07  0.1070  0.143E-03         -8.40  0.1697  0.980E-03         -4.17  0.2467  0.249E-02
          4.0000      -17.92  0.1075  0.151E-03         -8.24  0.1715  0.103E-02         -4.15  0.2473  0.238E-02
          4.5000      -17.76  0.1082  0.160E-03         -8.08  0.1733  0.108E-02         -4.13  0.2477  0.227E-02
          5.0000      -17.59  0.1088  0.170E-03         -7.92  0.1751  0.111E-02         -4.12  0.2480  0.218E-02
          5.5000      -17.40  0.1095  0.181E-03         -7.77  0.1768  0.115E-02         -4.12  0.2481  0.209E-02
          6.0000      -17.20  0.1103  0.192E-03         -7.64  0.1788  0.118E-02         -4.11  0.2482  0.201E-02
          6.5000      -16.98  0.1111  0.204E-03         -7.51  0.1808  0.120E-02         -4.11  0.2483  0.193E-02
          7.0000      -16.75  0.1120  0.218E-03         -7.39  0.1826  0.122E-02         -4.11  0.2482  0.186E-02
          7.5000      -16.51  0.1129  0.232E-03         -7.29  0.1842  0.124E-02         -4.12  0.2482  0.180E-02
          8.0000      -16.26  0.1138  0.247E-03         -7.19  0.1856  0.125E-02         -4.12  0.2481  0.174E-02
          8.5000      -16.00  0.1149  0.264E-03         -7.10  0.1870  0.125E-02         -4.12  0.2479  0.168E-02
          9.0000      -15.72  0.1159  0.281E-03         -7.02  0.1882  0.125E-02         -4.13  0.2478  0.163E-02
          9.5000      -15.44  0.1172  0.300E-03         -6.95  0.1893  0.125E-02         -4.14  0.2476  0.158E-02
         10.0000      -15.18  0.1186  0.322E-03         -6.88  0.1903  0.124E-02         -4.14  0.2474  0.153E-02
         10.5000      -14.90  0.1202  0.342E-03         -6.82  0.1913  0.124E-02         -4.15  0.2472  0.149E-02
         11.0000      -14.61  0.1217  0.360E-03         -6.77  0.1921  0.123E-02         -4.16  0.2470  0.144E-02
         11.5000      -14.35  0.1232  0.386E-03         -6.71  0.1929  0.122E-02         -4.17  0.2468  0.141E-02
         12.0000      -14.09  0.1246  0.406E-03         -6.67  0.1937  0.121E-02         -4.18  0.2465  0.137E-02
         12.5000      -13.83  0.1260  0.425E-03         -6.62  0.1943  0.120E-02         -4.19  0.2463  0.133E-02
         13.0000      -13.58  0.1274  0.443E-03         -6.58  0.1950  0.119E-02         -4.20  0.2460  0.130E-02
         13.5000      -13.33  0.1288  0.462E-03         -6.55  0.1955  0.117E-02         -4.21  0.2458  0.127E-02
         14.0000      -13.10  0.1301  0.479E-03         -6.51  0.1961  0.116E-02         -4.22  0.2455  0.124E-02
         14.5000      -12.86  0.1314  0.493E-03         -6.48  0.1965  0.115E-02         -4.23  0.2452  0.121E-02
         15.0000      -12.64  0.1326  0.508E-03         -6.45  0.1970  0.113E-02         -4.24  0.2450  0.118E-02
         15.5000      -12.42  0.1338  0.522E-03         -6.42  0.1974  0.112E-02         -4.25  0.2447  0.115E-02
         16.0000      -12.22  0.1352  0.538E-03         -6.40  0.1978  0.111E-02         -4.26  0.2444  0.113E-02
         16.5000      -12.03  0.1366  0.552E-03         -6.37  0.1982  0.109E-02         -4.27  0.2441  0.110E-02
         17.0000      -11.85  0.1381  0.563E-03         -6.35  0.1985  0.108E-02         -4.28  0.2439  0.108E-02
         17.5000      -11.67  0.1395  0.572E-03         -6.33  0.1988  0.107E-02         -4.29  0.2436  0.106E-02
         18.0000      -11.52  0.1407  0.587E-03         -6.31  0.1991  0.105E-02         -4.30  0.2433  0.103E-02
         18.5000      -11.37  0.1419  0.598E-03         -6.30  0.1994  0.104E-02         -4.31  0.2430  0.101E-02
         19.0000      -11.23  0.1430  0.605E-03         -6.28  0.1996  0.103E-02         -4.32  0.2427  0.993E-03
         19.5000      -11.09  0.1441  0.611E-03         -6.27  0.1998  0.101E-02         -4.33  0.2425  0.974E-03
         20.0000      -10.96  0.1451  0.619E-03         -6.25  0.2000  0.100E-02         -4.34  0.2422  0.955E-03
         20.5000      -10.84  0.1460  0.625E-03         -6.24  0.2002  0.990E-03         -4.35  0.2419  0.938E-03
         21.0000      -10.73  0.1469  0.630E-03         -6.23  0.2004  0.978E-03         -4.36  0.2416  0.920E-03
         21.5000      -10.62  0.1478  0.634E-03         -6.22  0.2006  0.966E-03         -4.37  0.2413  0.904E-03
         22.0000      -10.51  0.1486  0.637E-03         -6.21  0.2007  0.954E-03         -4.38  0.2411  0.888E-03
         22.5000      -10.41  0.1494  0.641E-03         -6.20  0.2009  0.943E-03         -4.39  0.2408  0.872E-03
         23.0000      -10.32  0.1502  0.644E-03         -6.19  0.2010  0.932E-03         -4.40  0.2405  0.857E-03
         23.5000      -10.23  0.1509  0.647E-03         -6.18  0.2011  0.921E-03         -4.41  0.2403  0.843E-03
         24.0000      -10.14  0.1516  0.648E-03         -6.17  0.2012  0.910E-03         -4.42  0.2400  0.829E-03
         24.5000      -10.06  0.1522  0.650E-03         -6.17  0.2013  0.899E-03         -4.43  0.2397  0.816E-03
         25.0000       -9.98  0.1528  0.652E-03         -6.16  0.2014  0.889E-03         -4.44  0.2394  0.803E-03
         25.5000       -9.91  0.1534  0.653E-03         -6.16  0.2015  0.879E-03         -4.45  0.2392  0.790E-03
         26.0000       -9.84  0.1540  0.654E-03         -6.15  0.2016  0.869E-03         -4.46  0.2389  0.778E-03
         26.5000       -9.77  0.1545  0.654E-03         -6.15  0.2017  0.859E-03         -4.47  0.2386  0.766E-03
         27.0000       -9.71  0.1552  0.657E-03         -6.14  0.2017  0.850E-03         -4.48  0.2384  0.754E-03
         27.5000       -9.65  0.1559  0.658E-03         -6.14  0.2018  0.840E-03         -4.49  0.2381  0.743E-03
         28.0000       -9.59  0.1565  0.658E-03         -6.14  0.2018  0.831E-03         -4.50  0.2378  0.732E-03
         28.0417       -9.59  0.1565  0.658E-03         -6.14  0.2018  0.830E-03         -4.50  0.2378  0.732E-03
         28.5000       -9.54  0.1571  0.659E-03         -6.13  0.2019  0.822E-03         -4.51  0.2376  0.722E-03
         29.0000       -9.49  0.1576  0.659E-03         -6.13  0.2019  0.813E-03         -4.52  0.2373  0.712E-03
         29.5000       -9.44  0.1582  0.658E-03         -6.13  0.2019  0.805E-03         -4.53  0.2371  0.702E-03
         30.0000       -9.40  0.1587  0.658E-03         -6.13  0.2020  0.797E-03         -4.54  0.2368  0.692E-03
         30.5000       -9.35  0.1591  0.659E-03         -6.13  0.2020  0.788E-03         -4.55  0.2365  0.683E-03
         31.0000       -9.32  0.1596  0.660E-03         -6.13  0.2020  0.781E-03         -4.56  0.2363  0.674E-03
         31.5000       -9.28  0.1600  0.659E-03         -6.13  0.2020  0.773E-03         -4.57  0.2360  0.665E-03
         32.0000       -9.25  0.1604  0.659E-03         -6.13  0.2020  0.765E-03         -4.58  0.2358  0.657E-03
         32.5000       -9.21  0.1607  0.658E-03         -6.13  0.2020  0.758E-03         -4.59  0.2355  0.648E-03
         33.0000       -9.18  0.1611  0.657E-03         -6.13  0.2020  0.751E-03         -4.60  0.2353  0.640E-03
         33.5000       -9.15  0.1614  0.657E-03         -6.13  0.2020  0.744E-03         -4.61  0.2350  0.632E-03
         34.0000       -9.12  0.1617  0.656E-03         -6.13  0.2020  0.737E-03         -4.62  0.2348  0.625E-03
         34.5000       -9.10  0.1620  0.655E-03         -6.13  0.2020  0.730E-03         -4.63  0.2345  0.617E-03
         35.0000       -9.07  0.1623  0.654E-03         -6.13  0.2019  0.723E-03         -4.63  0.2343  0.610E-03
         35.5000       -9.05  0.1625  0.653E-03         -6.13  0.2019  0.717E-03         -4.64  0.2340  0.603E-03
         36.0000       -9.03  0.1627  0.653E-03         -6.14  0.2019  0.710E-03         -4.65  0.2338  0.596E-03
         36.5000       -9.01  0.1630  0.653E-03         -6.14  0.2018  0.704E-03         -4.66  0.2335  0.590E-03
         37.0000       -8.99  0.1632  0.652E-03         -6.14  0.2018  0.698E-03         -4.67  0.2333  0.583E-03
         37.5000       -8.98  0.1633  0.651E-03         -6.14  0.2017  0.693E-03         -4.68  0.2330  0.577E-03
         38.0000       -8.96  0.1635  0.650E-03         -6.15  0.2017  0.687E-03         -4.69  0.2328  0.570E-03
         38.5000       -8.95  0.1637  0.649E-03         -6.15  0.2017  0.681E-03         -4.70  0.2326  0.564E-03
         39.0000       -8.93  0.1638  0.648E-03         -6.15  0.2016  0.676E-03         -4.71  0.2323  0.559E-03
         39.5000       -8.92  0.1640  0.647E-03         -6.15  0.2016  0.671E-03         -4.72  0.2321  0.553E-03
         40.0000       -8.91  0.1641  0.646E-03         -6.16  0.2015  0.666E-03         -4.73  0.2318  0.548E-03
         40.5000       -8.90  0.1642  0.645E-03         -6.16  0.2014  0.661E-03         -4.74  0.2316  0.542E-03
         41.0000       -8.89  0.1643  0.644E-03         -6.17  0.2014  0.656E-03         -4.74  0.2313  0.537E-03
         41.5000       -8.88  0.1644  0.643E-03         -6.17  0.2013  0.651E-03         -4.75  0.2311  0.531E-03
         42.0000       -8.87  0.1645  0.642E-03         -6.17  0.2013  0.647E-03         -4.76  0.2309  0.527E-03
         42.5000       -8.87  0.1646  0.641E-03         -6.18  0.2012  0.642E-03         -4.77  0.2306  0.522E-03
         43.0000       -8.86  0.1647  0.640E-03         -6.18  0.2011  0.638E-03         -4.78  0.2304  0.517E-03
         43.5000       -8.85  0.1647  0.639E-03         -6.19  0.2010  0.633E-03         -4.79  0.2301  0.513E-03
         44.0000       -8.85  0.1648  0.637E-03         -6.19  0.2010  0.629E-03         -4.80  0.2299  0.508E-03
         44.5000       -8.84  0.1648  0.636E-03         -6.20  0.2009  0.625E-03         -4.81  0.2297  0.503E-03
         45.0000       -8.84  0.1649  0.635E-03         -6.20  0.2008  0.621E-03         -4.82  0.2294  0.499E-03
         45.5000       -8.84  0.1649  0.634E-03         -6.21  0.2007  0.617E-03         -4.82  0.2292  0.496E-03
         46.0000       -8.83  0.1649  0.633E-03         -6.21  0.2006  0.613E-03         -4.83  0.2289  0.492E-03
         46.5000       -8.83  0.1649  0.632E-03         -6.22  0.2006  0.609E-03         -4.84  0.2287  0.487E-03
         47.0000       -8.83  0.1650  0.631E-03         -6.23  0.2005  0.605E-03         -4.85  0.2285  0.483E-03
         47.5000       -8.83  0.1650  0.630E-03         -6.23  0.2004  0.602E-03         -4.86  0.2282  0.479E-03
         48.0000       -8.83  0.1650  0.629E-03         -6.24  0.2003  0.598E-03         -4.87  0.2280  0.476E-03
         48.5000       -8.83  0.1650  0.627E-03         -6.24  0.2002  0.594E-03         -4.88  0.2279  0.472E-03
         49.0000       -8.83  0.1650  0.626E-03         -6.25  0.2001  0.591E-03         -4.89  0.2277  0.468E-03
         49.5000       -8.83  0.1649  0.625E-03         -6.26  0.2000  0.588E-03         -4.90  0.2275  0.465E-03
         50.0000       -8.84  0.1649  0.624E-03         -6.26  0.1999  0.584E-03         -4.90  0.2273  0.461E-03
         50.5000       -8.84  0.1649  0.623E-03         -6.27  0.1998  0.581E-03         -4.91  0.2271  0.458E-03
         51.0000       -8.84  0.1649  0.621E-03         -6.27  0.1997  0.578E-03         -4.92  0.2269  0.454E-03
         51.5000       -8.84  0.1648  0.620E-03         -6.28  0.1996  0.575E-03         -4.93  0.2268  0.450E-03
         52.0000       -8.85  0.1648  0.619E-03         -6.29  0.1995  0.572E-03         -4.94  0.2266  0.447E-03
         52.5000       -8.85  0.1648  0.617E-03         -6.29  0.1994  0.569E-03         -4.95  0.2264  0.444E-03
         53.0000       -8.85  0.1647  0.616E-03         -6.30  0.1993  0.566E-03         -4.96  0.2262  0.441E-03
         53.5000       -8.86  0.1647  0.614E-03         -6.31  0.1992  0.563E-03         -4.97  0.2260  0.437E-03
         54.0000       -8.86  0.1646  0.613E-03         -6.32  0.1991  0.560E-03         -4.97  0.2259  0.434E-03
         54.5000       -8.87  0.1646  0.611E-03         -6.32  0.1990  0.557E-03         -4.98  0.2257  0.431E-03
         55.0000       -8.87  0.1645  0.609E-03         -6.33  0.1989  0.554E-03         -4.99  0.2255  0.428E-03
         55.5000       -8.88  0.1645  0.608E-03         -6.34  0.1987  0.552E-03         -5.00  0.2253  0.426E-03
         56.0000       -8.88  0.1644  0.606E-03         -6.34  0.1986  0.549E-03         -5.01  0.2252  0.423E-03
         56.5000       -8.89  0.1643  0.604E-03         -6.35  0.1985  0.546E-03         -5.02  0.2250  0.420E-03
         57.0000       -8.89  0.1643  0.603E-03         -6.36  0.1984  0.544E-03         -5.03  0.2248  0.417E-03
         57.5000       -8.90  0.1642  0.601E-03         -6.37  0.1983  0.541E-03         -5.03  0.2246  0.415E-03
         58.0000       -8.90  0.1642  0.599E-03         -6.37  0.1982  0.539E-03         -5.04  0.2245  0.412E-03
         58.5000       -8.91  0.1641  0.597E-03         -6.38  0.1981  0.536E-03         -5.05  0.2243  0.409E-03
         59.0000       -8.92  0.1640  0.596E-03         -6.39  0.1979  0.534E-03         -5.06  0.2241  0.407E-03
         59.5000       -8.92  0.1640  0.594E-03         -6.40  0.1978  0.532E-03         -5.07  0.2239  0.404E-03
         60.0000       -8.93  0.1639  0.592E-03         -6.40  0.1977  0.529E-03         -5.08  0.2238  0.402E-03
         60.5000       -8.93  0.1638  0.590E-03         -6.41  0.1976  0.527E-03         -5.08  0.2236  0.400E-03
         61.0000       -8.94  0.1638  0.589E-03         -6.42  0.1975  0.524E-03         -5.09  0.2234  0.397E-03
         61.5000       -8.95  0.1637  0.587E-03         -6.43  0.1973  0.522E-03         -5.10  0.2233  0.395E-03
         62.0000       -8.95  0.1636  0.585E-03         -6.44  0.1972  0.520E-03         -5.11  0.2231  0.393E-03
         62.5000       -8.96  0.1635  0.583E-03         -6.44  0.1971  0.517E-03         -5.12  0.2229  0.390E-03
         63.0000       -8.97  0.1635  0.582E-03         -6.45  0.1970  0.515E-03         -5.13  0.2227  0.388E-03
         63.5000       -8.97  0.1634  0.580E-03         -6.46  0.1969  0.513E-03         -5.13  0.2226  0.386E-03
         64.0000       -8.98  0.1633  0.578E-03         -6.47  0.1967  0.511E-03         -5.14  0.2224  0.384E-03
         64.0240       -8.98  0.1633  0.578E-03         -6.47  0.1967  0.511E-03         -5.14  0.2224  0.384E-03
         64.0552       -8.98  0.1633  0.578E-03         -6.47  0.1967  0.510E-03         -5.14  0.2224  0.384E-03
         64.0958       -8.98  0.1633  0.578E-03         -6.47  0.1967  0.510E-03         -5.14  0.2224  0.384E-03
         64.1463       -8.98  0.1633  0.578E-03         -6.47  0.1967  0.510E-03         -5.14  0.2224  0.383E-03
         64.2170       -8.98  0.1633  0.578E-03         -6.47  0.1967  0.510E-03         -5.15  0.2223  0.383E-03
         64.3114       -8.99  0.1632  0.577E-03         -6.47  0.1967  0.509E-03         -5.15  0.2223  0.383E-03
         64.4057       -8.99  0.1632  0.577E-03         -6.47  0.1966  0.509E-03         -5.15  0.2223  0.382E-03
         64.5000       -8.99  0.1632  0.577E-03         -6.48  0.1966  0.508E-03         -5.15  0.2222  0.382E-03
         64.5240       -8.99  0.1632  0.576E-03         -6.48  0.1966  0.508E-03         -5.15  0.2222  0.382E-03
         64.5552       -8.99  0.1632  0.576E-03         -6.48  0.1966  0.508E-03         -5.15  0.2222  0.382E-03
         64.5958       -8.99  0.1632  0.576E-03         -6.48  0.1966  0.508E-03         -5.15  0.2222  0.381E-03
         64.6463       -8.99  0.1632  0.576E-03         -6.48  0.1966  0.508E-03         -5.15  0.2222  0.381E-03
         64.7170       -8.99  0.1632  0.576E-03         -6.48  0.1966  0.508E-03         -5.15  0.2222  0.381E-03
         64.8114       -8.99  0.1632  0.575E-03         -6.48  0.1965  0.507E-03         -5.15  0.2221  0.381E-03
         64.9057       -8.99  0.1632  0.575E-03         -6.48  0.1965  0.507E-03         -5.16  0.2221  0.380E-03
         65.0000       -9.00  0.1631  0.575E-03         -6.48  0.1965  0.506E-03         -5.16  0.2221  0.380E-03
         65.0240       -9.00  0.1631  0.575E-03         -6.48  0.1965  0.506E-03         -5.16  0.2221  0.380E-03
         65.0480       -9.00  0.1631  0.574E-03         -6.48  0.1965  0.506E-03         -5.16  0.2221  0.380E-03
         65.0720       -9.00  0.1631  0.574E-03         -6.48  0.1965  0.506E-03         -5.16  0.2220  0.380E-03
         65.0960       -9.00  0.1631  0.574E-03         -6.48  0.1965  0.506E-03         -5.16  0.2220  0.379E-03
         65.1272       -9.00  0.1631  0.574E-03         -6.49  0.1965  0.506E-03         -5.16  0.2220  0.379E-03
         65.1686       -9.00  0.1631  0.574E-03         -6.49  0.1965  0.506E-03         -5.16  0.2220  0.379E-03
         65.2239       -9.00  0.1631  0.574E-03         -6.49  0.1964  0.505E-03         -5.16  0.2220  0.379E-03
         65.2791       -9.00  0.1631  0.573E-03         -6.49  0.1964  0.505E-03         -5.16  0.2220  0.379E-03
         65.3343       -9.00  0.1631  0.573E-03         -6.49  0.1964  0.505E-03         -5.16  0.2220  0.378E-03
         65.4172       -9.00  0.1631  0.572E-03         -6.49  0.1964  0.504E-03         -5.16  0.2219  0.378E-03
         65.5000       -9.00  0.1631  0.569E-03         -6.49  0.1964  0.504E-03         -5.17  0.2219  0.378E-03
         65.5240       -9.00  0.1631  0.569E-03         -6.49  0.1964  0.504E-03         -5.17  0.2219  0.378E-03
         65.5480       -9.00  0.1631  0.568E-03         -6.49  0.1964  0.504E-03         -5.17  0.2219  0.378E-03
         65.5792       -9.00  0.1631  0.566E-03         -6.49  0.1964  0.504E-03         -5.17  0.2219  0.378E-03
         65.6213       -9.00  0.1631  0.564E-03         -6.49  0.1963  0.504E-03         -5.17  0.2219  0.377E-03
         65.6754       -9.00  0.1631  0.560E-03         -6.49  0.1963  0.503E-03         -5.17  0.2218  0.377E-03
         65.7403       -9.00  0.1631  0.553E-03         -6.49  0.1963  0.503E-03         -5.17  0.2218  0.377E-03
         65.8269       -8.99  0.1632  0.540E-03         -6.50  0.1963  0.503E-03         -5.17  0.2218  0.377E-03
         66.0000       -8.96  0.1635  0.509E-03         -6.50  0.1962  0.502E-03         -5.17  0.2217  0.376E-03
         66.1667       -8.93  0.1638  0.477E-03         -6.50  0.1962  0.501E-03         -5.18  0.2217  0.375E-03
         66.3333       -8.90  0.1642  0.443E-03         -6.50  0.1962  0.500E-03         -5.18  0.2216  0.374E-03
         66.5000       -8.85  0.1647  0.407E-03         -6.51  0.1961  0.499E-03         -5.18  0.2216  0.374E-03
         66.7500       -8.78  0.1656  0.353E-03         -6.51  0.1961  0.498E-03         -5.19  0.2215  0.373E-03
         67.0000       -8.69  0.1665  0.301E-03         -6.51  0.1960  0.496E-03         -5.19  0.2214  0.372E-03
         67.2500       -8.60  0.1675  0.256E-03         -6.52  0.1960  0.494E-03         -5.19  0.2213  0.371E-03
         67.5000       -8.52  0.1685  0.221E-03         -6.52  0.1959  0.491E-03         -5.20  0.2212  0.370E-03
         68.0000       -8.37  0.1701  0.185E-03         -6.53  0.1958  0.484E-03         -5.21  0.2211  0.368E-03
         68.5000       -8.25  0.1714  0.166E-03         -6.53  0.1958  0.475E-03         -5.21  0.2209  0.366E-03
         68.5240       -8.25  0.1715  0.163E-03         -6.53  0.1958  0.475E-03         -5.21  0.2209  0.366E-03
         68.5552       -8.24  0.1716  0.162E-03         -6.53  0.1958  0.474E-03         -5.22  0.2209  0.366E-03
         68.5958       -8.23  0.1717  0.161E-03         -6.53  0.1958  0.473E-03         -5.22  0.2209  0.366E-03
         68.6463       -8.22  0.1718  0.160E-03         -6.53  0.1958  0.473E-03         -5.22  0.2209  0.366E-03
         68.7170       -8.20  0.1720  0.159E-03         -6.53  0.1958  0.471E-03         -5.22  0.2208  0.365E-03
         68.8114       -8.18  0.1722  0.155E-03         -6.53  0.1958  0.469E-03         -5.22  0.2208  0.365E-03
         68.9057       -8.16  0.1724  0.150E-03         -6.53  0.1958  0.467E-03         -5.22  0.2208  0.364E-03
         69.0000       -8.14  0.1727  0.143E-03         -6.53  0.1958  0.465E-03         -5.22  0.2207  0.364E-03
         69.0240       -8.13  0.1727  0.141E-03         -6.53  0.1958  0.465E-03         -5.22  0.2207  0.364E-03
         69.0408       -8.13  0.1728  0.139E-03         -6.53  0.1958  0.464E-03         -5.22  0.2207  0.364E-03
         69.0526       -8.13  0.1728  0.138E-03         -6.53  0.1958  0.464E-03         -5.22  0.2207  0.364E-03
         69.0643       -8.13  0.1728  0.137E-03         -6.53  0.1958  0.464E-03         -5.22  0.2207  0.364E-03
         69.0796       -8.12  0.1729  0.135E-03         -6.53  0.1958  0.464E-03         -5.22  0.2207  0.364E-03
         69.0949       -8.12  0.1729  0.133E-03         -6.53  0.1958  0.463E-03         -5.22  0.2207  0.364E-03
         69.1148       -8.11  0.1730  0.130E-03         -6.53  0.1958  0.463E-03         -5.22  0.2207  0.364E-03
         69.1406       -8.11  0.1730  0.125E-03         -6.53  0.1958  0.462E-03         -5.22  0.2207  0.364E-03
         69.1664       -8.10  0.1731  0.115E-03         -6.53  0.1958  0.462E-03         -5.22  0.2207  0.363E-03
         69.1998       -8.09  0.1733  0.894E-04         -6.53  0.1958  0.461E-03         -5.23  0.2207  0.363E-03
         69.2332       -8.07  0.1735  0.405E-04         -6.53  0.1958  0.460E-03         -5.23  0.2207  0.363E-03
         69.2776       -8.02  0.1740 -0.860E-04         -6.53  0.1958  0.459E-03         -5.23  0.2206  0.363E-03
         69.3221       -7.94  0.1749 -0.301E-03         -6.53  0.1958  0.458E-03         -5.23  0.2206  0.363E-03
         69.3814       -7.76  0.1769 -0.759E-03         -6.53  0.1958  0.457E-03         -5.23  0.2206  0.362E-03
         69.4407       -7.50  0.1808 -0.154E-02         -6.53  0.1958  0.455E-03         -5.23  0.2206  0.362E-03
         69.5000       -7.15  0.1862 -0.265E-02         -6.53  0.1958  0.454E-03         -5.23  0.2206  0.362E-03
         69.5240       -7.00  0.1885 -0.314E-02         -6.53  0.1958  0.453E-03         -5.23  0.2206  0.362E-03
         69.5480       -6.83  0.1912 -0.372E-02         -6.53  0.1958  0.453E-03         -5.23  0.2206  0.362E-03
         69.5720       -6.64  0.1941 -0.438E-02         -6.53  0.1958  0.452E-03         -5.23  0.2205  0.362E-03
         69.6032       -6.34  0.1986 -0.555E-02         -6.53  0.1958  0.452E-03         -5.23  0.2205  0.362E-03
         69.6429       -5.92  0.2063 -0.764E-02         -6.53  0.1958  0.451E-03         -5.23  0.2205  0.361E-03
         69.6939       -5.32  0.2187 -0.107E-01         -6.53  0.1958  0.449E-03         -5.23  0.2205  0.361E-03
         69.7449       -4.76  0.2310 -0.140E-01         -6.53  0.1958  0.448E-03         -5.23  0.2205  0.361E-03
         69.8087       -4.18  0.2465 -0.173E-01         -6.53  0.1958  0.446E-03         -5.23  0.2205  0.361E-03
         69.8725       -3.73  0.2592 -0.200E-01         -6.53  0.1958  0.443E-03         -5.24  0.2205  0.360E-03
         69.9362       -3.39  0.2705 -0.217E-01         -6.53  0.1958  0.440E-03         -5.24  0.2204  0.360E-03
         70.0000       -3.13  0.2794 -0.230E-01         -6.52  0.1959  0.434E-03         -5.24  0.2204  0.360E-03
         70.0240       -3.04  0.2823 -0.230E-01         -6.52  0.1959  0.432E-03         -5.24  0.2204  0.360E-03
         70.0552       -2.96  0.2855 -0.226E-01         -6.52  0.1959  0.428E-03         -5.24  0.2204  0.359E-03
         70.0958       -2.89  0.2884 -0.218E-01         -6.52  0.1959  0.421E-03         -5.24  0.2204  0.359E-03
         70.1463       -2.82  0.2911 -0.204E-01         -6.52  0.1960  0.408E-03         -5.24  0.2204  0.359E-03
         70.2170       -2.75  0.2937 -0.192E-01         -6.51  0.1961  0.377E-03         -5.24  0.2203  0.359E-03
         70.3114       -2.67  0.2967 -0.181E-01         -6.49  0.1964  0.299E-03         -5.24  0.2203  0.358E-03
         70.4057       -2.60  0.2993 -0.174E-01         -6.45  0.1970  0.175E-03         -5.24  0.2203  0.358E-03
         70.5000       -2.54  0.3018 -0.170E-01         -6.39  0.1979 -0.247E-05         -5.25  0.2203  0.357E-03
         70.5240       -2.53  0.3022 -0.166E-01         -6.37  0.1982 -0.511E-04         -5.25  0.2202  0.357E-03
         70.5480       -2.53  0.3023 -0.158E-01         -6.36  0.1985 -0.105E-03         -5.25  0.2202  0.357E-03
         70.5720       -2.54  0.3020 -0.148E-01         -6.34  0.1988 -0.161E-03         -5.25  0.2202  0.357E-03
         70.6032       -2.56  0.3012 -0.134E-01         -6.31  0.1992 -0.240E-03         -5.25  0.2202  0.357E-03
         70.6429       -2.59  0.2998 -0.118E-01         -6.27  0.1998 -0.350E-03         -5.25  0.2202  0.356E-03
         70.6939       -2.64  0.2978 -0.101E-01         -6.21  0.2007 -0.502E-03         -5.25  0.2202  0.356E-03
         70.7704       -2.72  0.2949 -0.837E-02         -6.11  0.2023 -0.743E-03         -5.25  0.2202  0.356E-03
         70.8469       -2.78  0.2922 -0.718E-02         -6.01  0.2044 -0.107E-02         -5.25  0.2202  0.355E-03
         71.0000       -2.89  0.2881 -0.586E-02         -5.78  0.2092 -0.167E-02         -5.25  0.2201  0.353E-03
