site_no,latitude_dms,longitude_dms
413743089310102,"41°37'43.6""","89°31'01.0"""
421341088283701,"42°13'41""","88°28'37"""
401913089534501,"40°19'13.5""","89°53'44.7"""
422142088303102,"42°21'42.2""","88°30'31.5"""
421341088283703,"42°13'41""","88°28'37"""
414659087411701,"41°46'58.60""","87°41'16.66"""
421633088125801,"42°16'33.9""","88°12'58.8"""
402739088524101,"40°27'39.04""","88°52'41.38"""
413743089310101,"41°37'43.6""","89°31'01.1"""
401934089541706,"40°19'34.3""","89°54'17"""
402736088523901,"40°27'36.08""","88°52'38.59"""
402750088523801,"40°27'49.62""","88°52'38.19"""
422120088330901,"42°21'20.02""","88°33'08.52"""
401654088212001,"40°16'53.66""","88°21'20.43"""
422308088195601,"42°23'07.7""","88°19'56.1"""
421747088270701,"42°17'47.11""","88°27'06.99"""
415046087405401,"41°50'46.3""","87°40'54.2"""
422803087475301,"42°28'05""","87°47'58"""
351508090511301,,
343043092584601,"34°30'43.62""","92°58'46.66"""
343222092590301,"34°32'22.3""","92°59'02.8"""
343108092585201,"34°31'07.5""","92°58'52.2"""
343340092584901,"34°33'40.60""","92°58'49.60"""
343132092585402,"34°31'31.6""","92°58'53.5"""
360536094105701,"36°05'36.7""","94°10'57.6"""
351354092232401,"35°13'54.3""","92°23'23.5"""
344651091460301,"34°46'51.02""","91°46'03.22"""
342649091251916,"34°27'53.04""","91°25'15.37"""
352341090213101,"35°23'41.22""","90°21'30.65"""
331145092413001,"33°11'49.05""","92°41'27.01"""
344408091545102,"34°44'07.56""","91°54'51.46"""
352726090523101,"35°27'25.8""","90°52'31.3"""
331144092410601,"33°11'43.75""","92°41'04.87"""
343329092585101,"34°33'28.9""","92°58'50.8"""
343250092585901,"34°32'49.7""","92°58'58.7"""
331354092322401,"33°13'54.37""","92°32'24.17"""
343826091361302,,
344651091355102,"34°46'51""","91°35'51"""
330855092505601,"33°08'55.91""","92°50'56.48"""
331107092380201,"33°11'07""","92°38'02"""
355927092122401,"35°59'24.47""","92°12'22.79"""
331104092380201,"33°11'03.78""","92°38'02.12"""
343108090462601,"34°31'09.96""","90°46'21.48"""
354916090512501,"35°49'15.7""","90°51'24.5"""
345413091493401,"34°54'12.72""","91°49'34.26"""
330624091552801,"33°06'24.80""","91°55'28.46"""
335258091152301,"33°52'56.57""","91°15'29.64"""
343826091361301,,
343332092584001,"34°33'32.5""","92°58'40.0"""
331346092391101,"33°12'46.08""","92°39'09.78"""
354817090303001,"35°48'17.61""","90°30'30.98"""
345057091525601,"34°50'58.11""","91°52'52.02"""
331438092411901,"33°14'38.96""","92°41'29.21"""
331609093144902,"33°16'08.55""","93°14'48.61"""
343153092582401,"34°31'52.9""","92°58'24.5"""
353606090510701,"35°36'05.5""","90°51'07"""
353831090502401,,
351611091140601,"35°16'10.60""","91°14'06.09"""
343145092584801,"34°31'44.7""","92°58'47.5"""
341453091544101,"34°14'52.32""","91°54'40.20"""
362155094254801,,
344653091382701,"34°46'52.8""","91°38'27.4"""
343316092584201,"34°33'15.7""","92°58'42.4"""
343244092585601,"34°32'44.2""","92°58'55.6"""
332205092433001,"33°22'05.89""","92°43'28.60"""
343726093481801,"34°37'26""","93°48'18"""
344543091510601,,
331256092483702,"33°12'56""","92°48'37"""
644331147183901,"64°43'31""","147°18'39"""
645434147385101,"64°54'34.42""","147°38'59.97"""
644528147131202,"64°45'28""","147°13'25"""
582359134352103,"58°23'59""","134°35'21"""
644400147151502,"64°44'00""","147°15'27"""
644454147151701,"64°44'54""","147°15'17"""
611725149335401,"61°17'26""","149°35'39"""
644435147172001,"64°44'35""","147°17'20"""
413654087230501,"41°36'54.0""","87°23'04.9"""
400541085213701,"40°05'41""","85°21'30"""
404331085064701,"40°43'31""","85°06'47"""
383012086124501,"38°30'12""","86°12'45"""
401151086030201,"40°11'51""","86°03'02"""
400000086023201,"40°00'00""","86°02'32"""
393943085490901,"39°39'43""","85°49'09"""
413718087233701,"41°37'18.4""","87°23'37.0"""
410739086365201,"41°07'39""","86°36'52"""
395223086214201,"39°52'23.19""","86°21'42.05"""
412359086421101,"41°23'50.02""","86°42'16.17"""
380626087344401,"38°06'26""","87°34'44"""
393616086134502,"39°36'16.32""","86°13'45.17"""
410337085264201,"41°03'34""","85°26'43"""
411922085221801,"41°19'21.6""","85°22'19.5"""
412354086421010,"41°23'54""","86°42'10"""
412354086421002,"41°23'54.92""","86°42'10.94"""
393855086120701,"39°38'55""","86°12'07"""
412357086421001,"41°23'57.99""","86°42'10.99"""
390950085553501,"39°09'50""","85°55'35"""
