epoch,timestamp,elapsed_time,total_loss,pde_loss,surf_loss,wt_head_loss,wt_kin_loss,ic_h_loss,ic_zb_loss,pde_grad,surf_grad,wt_head_grad,wt_kin_grad,ic_h_grad,ic_zb_grad,total_grad,pde_weight,surf_weight,wt_head_weight,wt_kin_weight,ic_h_weight,ic_zb_weight,cache_mean_residual,cache_max_residual,cache_std_residual,learning_rate,epoch_time
1199,2025-09-23T18:48:03.121638,31.229384899139404,8.928544411901385e-05,3.980503242928535e-05,2.8664871933870018e-05,4.074643129570177e-06,7.596509199458978e-09,1.670493838901166e-05,2.8359155024304528e-08,0.0049217518027468545,0.0011865050101364236,0.0042849446141496215,1.7849443167516383e-07,0.002034022763369516,0.00020197842071070638,0.004337063707206241,100000000.0,100000000.0,0.0015825912204206966,2048.0,0.001524038037649924,0.4665165322294412,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.024568796157836914
1249,2025-09-23T18:48:04.359345,32.46709203720093,8.216278365580365e-05,3.532796836225316e-05,3.662542439997196e-05,2.4289045086334227e-06,2.0397990851961367e-08,7.735914550721645e-06,2.4176731727720835e-08,0.003970035338765591,0.0009533646158244981,0.0024129828411969595,4.4566531660484145e-07,0.001067957271735862,0.00017990676001800073,0.0018411030582181254,100000000.0,100000000.0,0.001,4095.999999999997,0.001,0.4352753195596996,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.03139305114746094
1299,2025-09-23T18:48:05.557229,33.66497611999512,7.17880975571461e-05,2.7433328796178102e-05,3.3700413041515276e-05,2.472032747391495e-06,1.9237905490854246e-08,8.002520189620554e-06,1.605572776952613e-07,0.0012151557164017221,0.0008399896651008243,0.0026455994768618146,3.449053930873373e-07,0.0010253758886846025,0.00046279829067556326,0.0022750446160535653,100000000.0,100000000.0,0.001,4095.999999999997,0.001,0.4352753195596996,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.023453235626220703
1349,2025-09-23T18:48:06.735661,34.84340810775757,6.873766687931493e-05,2.8841728635597974e-05,2.1204987206147052e-05,2.443384801154025e-06,2.7594188267698883e-08,1.6085408788057975e-05,1.3457075453970901e-07,0.0024287440741746634,0.0007419454336809651,0.002205983344272988,8.661322459679199e-07,0.0019343427001551733,0.0004090331005943597,0.0016989563672914886,100000000.0,100000000.0,0.001,8191.9999999999945,0.001,0.40612623711270457,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.02364802360534668
1399,2025-09-23T18:48:07.923190,36.03093719482422,8.582984446547925e-05,2.7459785997052677e-05,3.155805461574346e-05,3.6671071939053945e-06,3.8488149556314966e-08,2.277687963214703e-05,3.295292003713257e-07,0.006696919061551757,0.000724894157993509,0.002000350561123197,8.330671026236576e-07,0.0024355983395757106,0.0006392173424410176,0.004776185381224253,100000000.0,100000000.0,0.001,8191.9999999999945,0.001,0.40612623711270457,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.024166345596313477
1449,2025-09-23T18:48:09.125938,37.23368501663208,7.515450124628842e-05,2.5715075025800616e-05,2.130965185642708e-05,3.719915184774436e-06,5.7731231350999224e-08,2.434966700093355e-05,2.4682051957825024e-09,0.0021870669519618025,0.0006299513236513971,0.0021846126707905744,1.4178933399509083e-06,0.002421346287398044,5.344266247256786e-05,0.0025163808748321927,100000000.0,100000000.0,0.001,16383.99999999999,0.001,0.37892918121821967,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.023467063903808594
1499,2025-09-23T18:48:10.394126,38.501873254776,8.668301597936079e-05,2.345595567021519e-05,3.901234958902933e-05,3.4152028547396185e-06,5.7309993195531206e-08,2.0432024030014873e-05,3.1017341939332255e-07,0.0021582487026901337,0.0003907781256863316,0.002357816764654605,1.3220331754264476e-06,0.002248642345373906,0.0005977561437472116,0.002232433081300989,100000000.0,100000000.0,0.001,16383.99999999999,0.001,0.37892918121821967,5.621006948786089e-07,7.978210305736866e-06,3.8816540381958475e-07,0.003,0.024479150772094727
1549,2025-09-23T18:48:11.748606,39.85635304450989,8.782326040090993e-05,2.1888023184146732e-05,4.096444899914786e-05,3.598555622374988e-06,1.415216530631369e-07,2.0990526536479592e-05,2.401784513494931e-07,0.003965532560749341,0.0004090197712013985,0.0020452359186168305,2.7289657684405956e-06,0.0023443161104271795,0.0005079413640698124,0.003350079158715507,100000000.0,100000000.0,0.001,32767.999999999985,0.001,0.3535534304813675,4.048363280162448e-07,2.9802358767483383e-06,2.659747622146824e-07,0.003,0.023540973663330078
1599,2025-09-23T18:48:12.939856,41.047602891922,7.370531238848343e-05,2.050954026344698e-05,2.7557822249946184e-05,3.6365975120133953e-06,1.2872371257799387e-07,2.1839085093233734e-05,3.354751143547219e-08,0.002783921064226527,0.0005222892121095238,0.002057437198264465,2.7945997231601814e-06,0.002330693412604463,0.00018999009786290332,0.002525793917836942,100000000.0,100000000.0,0.001,32767.999999999985,0.001,0.3535534304813675,4.048363280162448e-07,2.9802358767483383e-06,2.659747622146824e-07,0.003,0.024361848831176758
1649,2025-09-23T18:48:14.160296,42.26804304122925,6.279521767282858e-05,1.778906698746141e-05,2.6085039280587807e-05,3.277379619248677e-06,2.422888201181195e-07,1.5387591702165082e-05,1.3852369029621059e-08,0.0018332026958128367,0.0005557011187532838,0.0027218811641686108,5.048981129429613e-06,0.0018751165522696521,0.0001177292679792263,0.002073839416411227,100000000.0,100000000.0,0.001,65535.99999999998,0.001,0.3298770176468074,4.048363280162448e-07,2.9802358767483383e-06,2.659747622146824e-07,0.003,0.024369001388549805
1699,2025-09-23T18:48:15.348526,43.45627307891846,4.957747660228051e-05,2.0042256437591277e-05,1.713602978270501e-05,2.0259460598026635e-06,1.6981806538751698e-07,1.0135106094821822e-05,6.83172487470074e-08,0.003692747844576422,0.0004323358555926797,0.0023656764891493943,5.189572950736639e-06,0.0013549713337429904,0.00026125352286038896,0.001509978829812112,100000000.0,100000000.0,0.001,65535.99999999998,0.001,0.3298770176468074,4.048363280162448e-07,2.9802358767483383e-06,2.659747622146824e-07,0.003,0.023593902587890625
1749,2025-09-23T18:48:16.545294,44.65304112434387,5.231075192568824e-05,1.670628807914909e-05,1.4965482478146441e-05,3.0986468573246384e-06,3.419139034122054e-07,1.7176087567349896e-05,2.2330267412939975e-08,0.001952409015824506,0.00036307996792497784,0.0030735041392973912,7.641676335138785e-06,0.0019820978384392303,0.00014426200517251051,0.0024649464020804197,100000000.0,100000000.0,0.001,131071.99999999996,0.001,0.30778614314258396,4.048363280162448e-07,2.9802358767483383e-06,2.659747622146824e-07,0.003,0.024424076080322266
